['05429', '159599']
['05443', '042592']
['05448', '384513']
['05452', '215803']
['05461', '058993']
['05490', '435916']
['05493', '076594']
['05528', '241404', '306508']
['05541', '366112']
['05556', '113396']
['05561', '224803']
['05568', '385513']
['05573', '225203']
['05582', '293007']
['05603', '177900']
['05604', '216403', '285507']
['05605', '045992']
['05606', '062993']
['05616', '063993']
['05621', '165700']
['05622', '071494']
['05627', '281207']
['05630', '303408']
['05639', '229104']
['05641', '251005']
['05645', '207202']
['05652', '247605']
['05669', '297808']
['05681', '138498']
['05682', '402014']
['05692', '063793']
['05699', '252205']
['05702', '289807']
['05703', '095395']
['05709', '177000']
['05712', '191901']
['05721', '248605']
['05722', '345110']
['05728', '148599']
['05748', '413114']
['05758', '211003']
['05763', '310308']
['05769', '362811']
['05771', '139698']
['05773', '117497']
['05780', '044292']
['05788', '272206']
['05795', '271706']
['05797', '082495']
['05816', '216703']
['05817', '437316']
['05821', '423115']
['05825', '182901', '433415']
['05828', '315009']
['05838', '050092']
['05854', '160499']
['05870', '218903']
['05873', '149499']
['05876', '216103']
['05881', '175300']
['05882', '048392']
['05888', '131898']
['05896', '119297']
['05903', '319009']
['05904', '294107']
['05919', '081194', '239804']
['05925', '084495']
['05935', '042392']
['05939', '276806']
['05940', '084295']
['05947', '398013']
['05953', '359811']
['05965', '293507']
['05983', '366612']
['06000', '421615']
['06008', '218803']
['06015', '426215']
['06021', '262006']
['06029', '117997']
['06051', '399814']
['06055', '100496']
['06067', '381913']
['06073', '426315']
['06074', '425615']
['06076', '335710']
['06079', '368012']
['06081', '315009']
['06088', '222503']
['06090', '358711']
['06095', '274406']
['06117', '335610']
['06121', '052193']
['06126', '346911']
['06133', '376012']
['06153', '066393']
['06172', '223503']
['06177', '381713']
['06194', '139398']
['06203', '327709']
['06205', '363812']
['06218', '298708']
['06230', '425715']
['06253', '432915']
['06280', '235804', '346511']
['06290', '147699']
['06298', '266406']
['06306', '109096']
['06309', '140698']
['06323', '414314']
['06328', '110796']
['06331', '308608']
['06338', '418915']
['06339', '341410']
['06372', '320509']
['06383', '241604']
['06400', '356911']
['06408', '339210', '422415']
['06420', '283107']
['06427', '062693']
['06428', '083095']
['06435', '399614']
['06448', '210903']
['06458', '151999']
['06459', '399514']
['06478', '074494']
['06502', '391613']
['06507', '233104']
['06523', '400414']
['06549', '088395']
['06556', '386613']
['06561', '200802']
['06562', '418515']
['06568', '270806']
['06576', '043392']
['06580', '074994']
['06582', '051393']
['06584', '048092']
['06609', '348311']
['06620', '125197']
['06630', '145399']
['06656', '331810']
['06680', '064293']
['06681', '227104']
['06685', '146499']
['06687', '186101', '277506']
['06697', '283007']
['06699', '219503', '304808']
['06705', '240504']
['06714', '048492']
['06721', '044892']
['06723', '120797']
['06733', '130598']
['06734', '326009']
['06736', '332310']
['06740', '377212']
['06753', '231704']
['06763', '363411']
['06768', '438516']
['06771', '213103', '417515']
['06779', '158299']
['06780', '055093', '393213']
['06788', '107396']
['06796', '291907']
['06806', '159099']
['06818', '380412']
['06820', '110296']
['06822', '119797']
['06830', '334610']
['06836', '269106']
['06841', '386613']
['06842', '203102']
['06867', '384113']
['06877', '196902']
['06878', '306908']
['06885', '286407']
['06890', '330110']
['06913', '255605']
['06923', '219603']
['06926', '357311']
['06927', '164900']
['06939', '339910']
['06953', '047192']
['06957', '368012']
['06964', '135898']
['06974', '115597']
['06986', '102396']
['06988', '319109']
['06993', '344210']
['06998', '370912']
['07001', '277706']
['07002', '369812']
['07023', '214203']
['07028', '378312']
['07030', '295308']
['07039', '121497']
['07053', '266006']
['07059', '201602']
['07070', '296508']
['07073', '423115']
['07089', '438316']
['07090', '132598']
['07093', '426015']
['07098', '376212']
['07105', '248905', '338010']
['07118', '364212']
['07125', '239204']
['07140', '244205']
['07143', '063993']
['07145', '422815']
['07157', '215303']
['07186', '173900', '192801']
['07187', '303008']
['07196', '051393']
['07213', '289407']
['07219', '328009']
['07221', '113496']
['07222', '149699']
['07228', '400414']
['07235', '386113']
['07236', '193501']
['07238', '102196', '423815']
['07251', '079494']
['07262', '059093']
['07268', '074594']
['07286', '185401']
['07295', '108496']
['07327', '108396']
['07330', '207002']
['07340', '121697']
['07348', '273006']
['07383', '193001']
['07398', '058893']
['07408', '384213']
['07409', '327509']
['07412', '382013']
['07418', '211103']
['07422', '258605']
['07424', '352811']
['07439', '379412']
['07447', '139198']
['07448', '367912']
['07455', '223303']
['07459', '197202']
['07463', '302808']
['07503', '065493']
['07505', '154099']
