['74386', '104496']
['74390', '091595']
['74394', '080894']
['74398', '113696']
['74401', '435516']
['74411', '354911']
['74414', '438816']
['74420', '302808']
['74433', '246305']
['74448', '132698']
['74460', '243805']
['74469', '101096', '254805']
['74500', '415514']
['74507', '292607']
['74512', '434115']
['74516', '099896', '260005']
['74544', '091095']
['74551', '112396']
['74554', '048792']
['74573', '303808']
['74596', '307508']
['74603', '304908']
['74609', '218603']
['74615', '402914']
['74627', '179501']
['74649', '195202']
['74673', '209402']
['74676', '369212']
['74677', '335810']
['74683', '247905']
['74685', '124897']
['74689', '072994']
['74695', '185101']
['74713', '230704']
['74721', '197202']
['74722', '172100']
['74730', '324009']
['74734', '237304']
['74746', '108496']
['74749', '191201']
['74757', '138498']
['74769', '421915']
['74778', '218503']
['74781', '072894']
['74796', '358711']
['74799', '370712']
['74800', '308708']
['74801', '083995']
['74813', '387613']
['74819', '152999']
['74821', '063193']
['74826', '102196']
['74828', '343110']
['74850', '196502']
['74860', '425215']
['74863', '174400']
['74871', '043392']
['74873', '217103']
['74877', '400014']
['74881', '415114']
['74882', '247105']
['74888', '282407']
['74892', '437816']
['74903', '347311']
['74904', '384013']
['74911', '425715']
['74915', '068994']
['74926', '121897']
['74931', '399113']
['74940', '234204']
['74941', '258505']
['74946', '057193']
['74953', '052493']
['74963', '104396']
['74981', '319409']
['74990', '375812']
['75000', '413414']
['75022', '372212']
['75027', '067294']
['75037', '420915']
['75064', '413214']
['75072', '181601']
['75073', '407414']
['75075', '323709']
['75077', '144798']
['75091', '176400']
['75092', '072194']
['75108', '087495']
['75120', '054393']
['75124', '423315']
['75131', '183601']
['75145', '213703']
['75154', '316209']
['75155', '090795']
['75168', '156299']
['75191', '198802']
['75196', '438816']
['75198', '179201']
['75200', '294007']
['75234', '218103']
['75247', '292007']
['75251', '059193']
['75282', '331410']
['75303', '325209']
['75305', '312209']
['75316', '202802', '263606']
['75324', '255905']
['75329', '127097']
['75349', '276106']
['75361', '072594']
['75372', '224903']
['75403', '388413']
['75407', '385713']
['75415', '187001', '349911']
['75416', '142098']
['75427', '253805']
['75450', '265506']
['75452', '188601']
['75453', '360911']
['75468', '274306']
['75478', '046692']
['75484', '052293', '104896']
['75498', '284107']
['75504', '329810']
['75520', '190001']
['75532', '293907']
['75539', '406514']
['75544', '141398']
['75548', '050792']
['75558', '115497']
['75583', '223203']
['75591', '097895']
['75601', '157099']
['75629', '094395']
['75634', '235604']
['75641', '246205']
['75647', '313709']
['75669', '216903']
['75683', '259505']
['75687', '152399']
['75688', '374712']
['75697', '084895']
['75712', '371512']
['75721', '344710']
['75727', '280407']
['75732', '122097']
['75737', '153699']
['75744', '098196']
['75745', '402214']
['75747', '398513']
['75768', '184101']
['75788', '357711']
['75790', '148799']
['75792', '379612']
['75797', '244905']
['75821', '423315']
['75823', '193301']
['75824', '364112']
['75828', '206702']
['75846', '085795']
['75847', '143498']
['75848', '151499']
['75863', '242504']
['75887', '388813']
['75896', '085695']
['75904', '058293', '304008']
['75910', '254505']
['75925', '080794']
['75965', '181101']
['75968', '158999', '172800']
['75975', '119397']
['75977', '349011']
['75982', '369612']
['75984', '142898']
['76000', '118697']
['76016', '212903']
['76018', '279707']
['76021', '369612']
['76022', '185601']
['76030', '357011']
['76035', '091495']
['76039', '282607']
['76045', '395313']
['76046', '215203']
['76052', '130998']
['76056', '144898']
['76060', '237604', '377712']
['76080', '160099']
['76093', '168000']
['76103', '314909']
['76106', '126697']
['76107', '272306']
['76130', '128897', '388013']
['76136', '156999']
['76170', '317009']
['76203', '355311']
['76204', '406214']
['76207', '317709']
['76233', '243204']
['76247', '156099']
['76266', '295408']
['76271', '391313']
['76287', '106396']
['76297', '302608']
['76313', '079394']
['76320', '048192']
['76329', '408114']
['76349', '224603']
['76354', '395913']
['76355', '271506']
['76367', '217803']
['76387', '121297']
['76390', '081694']
['76399', '204402']
['76406', '289307']
['76420', '434915']
['76426', '343810']
['76436', '074594']
['76437', '206402']
['76452', '271106']
['76459', '114497']
['76469', '412814']
['76475', '282707']
['76479', '090495']
['76521', '379512']
['76523', '391013']
['76532', '257705']
['76535', '114997']
['76549', '309608']
['76572', '134698']
['76579', '147199']
['76604', '053093']
['76607', '189501']
['76613', '320809']
['76618', '428215']
['76623', '279907']
['76624', '321109']
['76632', '180501']
['76647', '067694']
['76655', '267306']
['76663', '138098']
['76664', '216603']
['76674', '366512']
['76678', '118397']
['76696', '084395']
['76699', '299208']
['76702', '218003']
['76705', '216803']
['76710', '164200']
['76712', '151499']
['76720', '053593']
['76730', '310708']
['76734', '426515']
['76740', '274606']
['76744', '243204']
['76746', '307508']
['76760', '392713']
['76773', '316109']
['76778', '339310']
['76784', '234504']
['76786', '363812']
['76806', '353511']
['76818', '132198']
['76821', '437916']
['76827', '306308']
['76828', '228404']
['76835', '357611']
['76870', '079594']
['76875', '353411']
['76876', '406014']
['76888', '107996']
['76905', '127797']
['76909', '079594']
['76938', '323609']
['76989', '253405']
['77010', '402214']
['77016', '433415']
['77017', '184201']
['77021', '428715']
['77036', '307408']
['77040', '051092']
['77066', '418815']
['77076', '188001']
['77083', '382513']
['77085', '054793']
['77095', '063493']
['77109', '205902']
['77137', '134798']
['77139', '247305']
['77145', '050192']
['77155', '392513']
['77176', '217103']
['77181', '175000']
['77182', '056493']
['77199', '107596']
['77217', '145999']
['77226', '238704']
['77236', '250905']
['77247', '417014']
['77273', '197902']
['77283', '304108']
['77289', '433015']
['77290', '092895']
['77291', '166600']
['77316', '437516']
['77342', '281107']
['77350', '191001']
['77356', '146399']
['77364', '132798']
['77381', '241704']
['77387', '294507']
['77416', '315109']
['77428', '334710']
['77439', '330610']
['77442', '396913']
['77462', '210603']
['77467', '271406']
['77474', '054393']
['77476', '234704']
['77479', '106096', '240804']
['77482', '111196']
['77492', '086495']
['77496', '409314']
['77498', '128297']
['77501', '214603']
['77506', '232404']
['77545', '375512']
['77558', '436916']
['77569', '347511', '400314']
['77584', '327309']
['77590', '304208']
['77603', '401314']
['77608', '400714']
['77622', '369812']
['77627', '169200']
['77630', '414114']
['77637', '192101']
['77641', '213303']
['77652', '048792']
['77656', '109696']
['77659', '370012']
['77691', '246805']
['77700', '251205']
['77705', '384513']
['77718', '139798']
['77738', '093595', '251405']
['77746', '314509']
['77750', '245705']
['77751', '422515']
['77759', '259805']
['77774', '124197']
['77799', '299508']
['77812', '082294', '428115']
['77816', '399414']
['77832', '199602', '229404']
['77837', '088095']
['77857', '387013']
['77871', '417215']
['77891', '128697']
['77897', '232004', '286007']
['77899', '303408']
['77906', '268206']
['77912', '056893', '191101']
['77922', '163400', '289907']
['77924', '248405']
['77927', '251105']
['77955', '360211']
['77965', '255305']
['77973', '253905']
['77984', '075094']
['77986', '053193']
['77991', '123697']
['77999', '094795']
['78005', '415014']
['78013', '145699']
['78021', '324009']
['78038', '103296']
['78044', '118297']
['78047', '171300']
['78053', '099996']
['78062', '366312']
['78068', '284907']
['78073', '191501']
['78087', '225103']
['78089', '339510']
['78106', '382713']
['78124', '137998']
['78127', '291107']
['78131', '273506']
['78133', '431815']
['78138', '105196']
['78139', '375612']
['78154', '291007']
['78167', '397213']
['78177', '249505']
['78187', '439416']
['78190', '382613']
['78199', '092795']
['78218', '341910']
['78234', '077694']
['78235', '303208']
['78238', '284807']
['78241', '287007']
['78248', '160899']
['78249', '202402']
['78250', '357511']
['78264', '209602']
['78268', '067494']
['78270', '043192']
['78292', '090295']
['78295', '094095', '421315']
['78326', '251805']
['78330', '245605']
['78333', '378112']
['78354', '205802']
['78361', '345410']
['78379', '252105']
['78392', '116797']
['78411', '088495']
['78417', '092295']
['78419', '292407']
['78436', '304208', '407614']
['78450', '205102']
['78451', '332710']
['78452', '106096']
['78456', '043992']
['78462', '076894']
['78489', '082194']
['78524', '333510']
['78533', '249805']
['78540', '146899']
['78542', '113696']
['78546', '383013']
['78560', '302608']
['78565', '146099']
['78567', '410714']
['78568', '096195']
['78586', '430715']
['78589', '283707']
['78608', '319109']
['78615', '094895']
['78620', '136198']
['78623', '275506']
['78628', '121097']
['78644', '431415']
['78648', '365912']
['78649', '154799']
['78657', '340310']
['78665', '069994']
['78671', '367812']
['78672', '203302']
['78681', '414314']
['78688', '300108']
['78704', '075694']
['78705', '125397']
['78713', '307208']
['78734', '359011']
['78739', '361111']
['78743', '137198']
['78745', '217503']
['78747', '338410']
['78759', '419115']
['78773', '118297']
['78775', '108196']
['78788', '352811']
['78792', '064293']
['78793', '124297']
['78813', '306208']
['78814', '086695']
['78823', '309808']
['78838', '161800']
['78844', '380512']
['78849', '277506']
['78852', '088495']
['78854', '216203']
['78856', '421715']
['78874', '342610']
['78875', '059193']
['78882', '300808']
['78891', '060793']
['78918', '098396']
['78935', '085195']
['78937', '181501']
['78943', '164100']
['78970', '170700']
['78972', '216303']
['78975', '068794', '363111']
['78980', '206202']
['78990', '067094']
['79003', '401614']
['79011', '312909']
['79017', '146899']
['79020', '093695']
['79027', '081694']
['79041', '129698']
['79047', '412014']
['79060', '087395']
['79064', '057893']
['79079', '309608']
['79081', '201702']
['79096', '339710']
['79102', '060393']
['79111', '077794']
['79128', '288307']
['79150', '162500']
['79153', '425315']
